Id,Area,COUNT,MIN,MAX,RANGE,MEAN,STD,SUM,volume,mean_depth,cat_area,dep2catR,Downstream,simu_depth,rain_inten,time_inund,rank,Shape_Leng,Shape_Area,Perimeter,Max_depth,depth_inde,MinBdAr,depConcav,LenLonAx,MBG_Width,MBG_Length,MBG_Orient,Circular,Compact,Elong
94,644.000000136,644,2237.87866211,2238.18261719,0.30395507813,2238.05422462,0.06913109695,1441306.92065,82.6848,0.128393,7035,0.0915423,7,0.0117533,0.05,0.235066,335,236,644,236,0.303955,0.0376284,3480.53434483,-1.82764,66.5699,23.1517315679,66.4728793192,144.117862754,0.145302,0.185029,2.87118
95,585.000000125,585,2249.46337891,2249.76733398,0.30395507813,2249.63911634,0.05403641888,1316038.88306,75.0073,0.128218,26940,0.0217149,7,0.00278424,0.05,0.0556848,202,174,585,174,0.303955,0.0394804,1664.37551319,-1.19829,46.0342,26.2953637329,45.8928517979,150.255118703,0.24281,0.351483,1.74528
102,1205.00000025,1205,2183.27368164,2184.24682617,0.97314453125,2183.78279123,0.26453424018,2631458.26343,559.162,0.464035,3659,0.329325,74,0.152818,0.05,3.05636,531,168,1205,168,0.973145,0.0880712,1727.32867159,-1.01826,46.8967,35.3553390593,45.9619407771,45,0.536511,0.697609,1.3
104,385.000000079,385,2179.34960938,2181.99829102,2.64868164062,2181.11435103,0.69709940044,839729.025146,340.317,0.88394,2682,0.14355,108,0.126889,0.05,2.53778,520,94,385,94,2.64868,0.424081,532.554885635,-3.41039,26.0398,21.8197158551,25.2982212813,161.565051177,0.547539,0.72293,1.15942
106,299.000000062,299,2183.76074219,2184.08666992,0.32592773438,2183.9179565,0.07950281164,652991.468994,50.4453,0.168713,2489,0.120129,74,0.0202673,0.05,0.405346,383,110,299,110,0.325928,0.0592156,720.978585754,-1.91973,30.2982,19.5782932986,25.5990516359,107.65012422,0.310524,0.414714,1.30752
107,776.000000162,776,2032.23059082,2032.7454834,0.51489257813,2032.47414957,0.13096071306,1577199.94006,210.555,0.271334,14911,0.0520421,101,0.0141208,0.05,0.282416,352,272,776,272,0.514893,0.0580679,7615.30305562,-5.45747,98.4688,14.1681043889,98.4878741359,155.820892853,0.131806,0.1019,6.95138
111,316.000000064,316,2180.88696289,2183.24902344,2.36206054688,2182.11070387,0.81281877971,689546.982422,359.709,1.13832,1459,0.216587,108,0.246545,0.05,4.9309,548,80,316,80,2.36206,0.417443,418.263039266,-5.26899,23.077,19,21,90,0.620465,0.755505,1.10526
118,985.000000207,985,2185.14379883,2185.90014648,0.75634765625,2185.45645671,0.21320178875,2152674.60986,437.034,0.443689,18888,0.0521495,74,0.0231382,0.05,0.462764,399,184,985,184,0.756348,0.07571,2111.08762026,-2.14924,51.8452,29.1217603016,50.2003677586,33.6900675258,0.365604,0.466584,1.72381
120,302.000000063,302,2224.96582031,2225.703125,0.7373046875,2225.22516637,0.23003806012,672018.000244,144.344,0.47796,2329,0.129669,0,0.0619768,0.05,1.23954,474,86,302,86,0.737305,0.133289,510.303813008,-4.56954,25.49,17.3657487821,24.3822129367,74.7448812971,0.513121,0.591804,1.40404
121,276.00000006,276,2227.46386719,2227.79589844,0.33203125,2227.6500138,0.08650306449,614831.403809,40.2642,0.145885,11385,0.0242424,53,0.0035366,0.05,0.070732,227,88,276,88,0.332031,0.0627876,586.863715158,-1.40942,27.3353,14.7580486516,27.2800293254,153.434948823,0.447872,0.470297,1.84848
